LIFESTAGE,PREMIUM_CUSTOMER,Sales,Quantity,Avg_Price
MIDAGE SINGLES/COUPLES,Budget,33345.7,8883,3.753878194303726
MIDAGE SINGLES/COUPLES,Mainstream,84734.25,21213,3.9944491585348607
MIDAGE SINGLES/COUPLES,Premium,54443.85,14400,3.7808229166666667
NEW FAMILIES,Budget,20607.45,5241,3.9319690898683457
NEW FAMILIES,Mainstream,15979.7,4060,3.9358866995073893
NEW FAMILIES,Premium,10760.8,2769,3.8861682918020946
OLDER FAMILIES,Budget,156863.75,41853,3.747969082264115
OLDER FAMILIES,Mainstream,96413.55,25804,3.7363800186017673
OLDER FAMILIES,Premium,75242.6,20239,3.71770344384604
OLDER SINGLES/COUPLES,Budget,127833.6,32883,3.8875285101724297
OLDER SINGLES/COUPLES,Mainstream,124648.5,32607,3.8227527831447237
OLDER SINGLES/COUPLES,Premium,123537.55,31695,3.8976983751380345
RETIREES,Budget,105916.3,26932,3.932730580721818
RETIREES,Mainstream,145168.95,37677,3.85298590652122
RETIREES,Premium,91296.65,23266,3.9240372216968966
YOUNG FAMILIES,Budget,129717.95,34482,3.761903311872861
YOUNG FAMILIES,Mainstream,86338.25,23194,3.7224389928429766
YOUNG FAMILIES,Premium,78571.7,20901,3.759231615712167
YOUNG SINGLES/COUPLES,Budget,57122.1,15500,3.6852967741935485
YOUNG SINGLES/COUPLES,Mainstream,147582.2,36225,4.074042788129745
YOUNG SINGLES/COUPLES,Premium,39052.3,10575,3.692888888888889
