LIFESTAGE,PREMIUM_CUSTOMER,Total_Qty,Customers,Avg_Units_Per_Customer
OLDER FAMILIES,Mainstream,25804,2788,9.255380200860833
OLDER FAMILIES,Budget,41853,4611,9.076772934287574
OLDER FAMILIES,Premium,20239,2231,9.071716718960108
YOUNG FAMILIES,Budget,34482,3953,8.722995193523905
YOUNG FAMILIES,Premium,20901,2398,8.716013344453712
YOUNG FAMILIES,Mainstream,23194,2685,8.638361266294227
OLDER SINGLES/COUPLES,Budget,32883,4849,6.781398226438441
OLDER SINGLES/COUPLES,Premium,31695,4682,6.769542930371636
OLDER SINGLES/COUPLES,Mainstream,32607,4858,6.712021407986826
MIDAGE SINGLES/COUPLES,Mainstream,21213,3298,6.432080048514251
RETIREES,Budget,26932,4385,6.141847206385405
RETIREES,Premium,23266,3812,6.1033578174186776
MIDAGE SINGLES/COUPLES,Premium,14400,2369,6.0785141409877586
MIDAGE SINGLES/COUPLES,Budget,8883,1474,6.026458616010855
RETIREES,Mainstream,37677,6358,5.925920100660585
NEW FAMILIES,Mainstream,4060,830,4.891566265060241
NEW FAMILIES,Budget,5241,1087,4.821527138914443
NEW FAMILIES,Premium,2769,575,4.815652173913043
YOUNG SINGLES/COUPLES,Mainstream,36225,7917,4.575596816976128
YOUNG SINGLES/COUPLES,Premium,10575,2480,4.264112903225806
YOUNG SINGLES/COUPLES,Budget,15500,3647,4.250068549492734
