BRAND,Target_Percentage,Other_Percentage,Affinity
Tyrrells,0.031672124437167416,0.025629852638250673,1.23575132811724
Twisties,0.046049938600081865,0.03765031074490748,1.223095844071101
Dorito,0.015503479328694229,0.01267627951196324,1.2230307255423658
Doritos,0.1062218583708555,0.08787566682512016,1.2087744219596739
Tostitos,0.04553827261563651,0.037769150865332134,1.2057001963852876
Kettle,0.1966844044207941,0.16480923959928873,1.1934064188331037
Pringles,0.11845067539909947,0.10029666015246748,1.1810031881324352
Grain,0.029471960704052395,0.02507086392366063,1.1755462753015955
Infzns,0.014735980352026197,0.012570643849363546,1.1722534285920672
Cobs,0.044207941056078594,0.038860719378862305,1.1375996575123832
Infuzions,0.04922226770364306,0.04443300058099615,1.107786263813461
Thins,0.059660253786328284,0.05681878202081023,1.0500093747957735
Cheezels,0.01770364306180925,0.01873712565362066,0.9448430559245512
Smiths,0.09158821121571838,0.1126780401063399,0.8128310638814982
Cheetos,0.008493655341792878,0.012152502684906424,0.698922317650842
French,0.003990994678673762,0.005897991161816229,0.6766701694148985
RRD,0.03269545640605812,0.04953872427331467,0.6599979487899406
Red,0.012075317232910356,0.018446627581471503,0.6546083927578863
Natural,0.016424478100695864,0.025216112959735207,0.6513485296850581
NCC,0.0037351616864510846,0.005924400077466152,0.6304708725965384
CCs,0.01135898485468686,0.019054032641419742,0.5961459743694701
GrnWves,0.0035816618911174787,0.006153277346432155,0.5820738590946544
Snbts,0.003632828489562014,0.006624236342189123,0.5484146853917152
Smith,0.006702824396234138,0.012465008186763852,0.5377312470080547
WW,0.021643471142038476,0.04356150636454867,0.496848546992682
Sunbites,0.002916496111338518,0.006052043169774116,0.48190272764484793
Burger,0.0031723291035611954,0.006611031884364162,0.479853850208182
Woolworths,0.0028653295128939827,0.006426169474814698,0.4458845232955214
