LIFESTAGE,PREMIUM_CUSTOMER,Total_Customers
YOUNG SINGLES/COUPLES,Mainstream,7917
RETIREES,Mainstream,6358
OLDER SINGLES/COUPLES,Mainstream,4858
OLDER SINGLES/COUPLES,Budget,4849
OLDER SINGLES/COUPLES,Premium,4682
OLDER FAMILIES,Budget,4611
RETIREES,Budget,4385
YOUNG FAMILIES,Budget,3953
RETIREES,Premium,3812
YOUNG SINGLES/COUPLES,Budget,3647
MIDAGE SINGLES/COUPLES,Mainstream,3298
OLDER FAMILIES,Mainstream,2788
YOUNG FAMILIES,Mainstream,2685
YOUNG SINGLES/COUPLES,Premium,2480
YOUNG FAMILIES,Premium,2398
MIDAGE SINGLES/COUPLES,Premium,2369
OLDER FAMILIES,Premium,2231
MIDAGE SINGLES/COUPLES,Budget,1474
NEW FAMILIES,Budget,1087
NEW FAMILIES,Mainstream,830
NEW FAMILIES,Premium,575
