LIFESTAGE,PREMIUM_CUSTOMER,TOT_SALES
OLDER FAMILIES,Budget,156863.75
YOUNG SINGLES/COUPLES,Mainstream,147582.2
RETIREES,Mainstream,145168.95
YOUNG FAMILIES,Budget,129717.95
OLDER SINGLES/COUPLES,Budget,127833.6
OLDER SINGLES/COUPLES,Mainstream,124648.5
OLDER SINGLES/COUPLES,Premium,123537.55
RETIREES,Budget,105916.3
OLDER FAMILIES,Mainstream,96413.55
RETIREES,Premium,91296.65
YOUNG FAMILIES,Mainstream,86338.25
MIDAGE SINGLES/COUPLES,Mainstream,84734.25
YOUNG FAMILIES,Premium,78571.7
OLDER FAMILIES,Premium,75242.6
YOUNG SINGLES/COUPLES,Budget,57122.1
MIDAGE SINGLES/COUPLES,Premium,54443.85
YOUNG SINGLES/COUPLES,Premium,39052.3
MIDAGE SINGLES/COUPLES,Budget,33345.7
NEW FAMILIES,Budget,20607.45
NEW FAMILIES,Mainstream,15979.7
NEW FAMILIES,Premium,10760.8
